community_area_id,community_area_name,weekday,hour,trip_count,avg_fare_cents
1,Rogers Park,0,0,32,1717
1,Rogers Park,0,1,35,1728
1,Rogers Park,0,2,16,1739
1,Rogers Park,0,3,17,1750
1,Rogers Park,0,4,18,1761
1,Rogers Park,0,5,17,1772
1,Rogers Park,0,6,54,1533
1,Rogers Park,0,7,72,1544
1,Rogers Park,0,8,77,1555
1,Rogers Park,0,9,82,1566
1,Rogers Park,0,10,51,1577
1,Rogers Park,0,11,67,1588
1,Rogers Park,0,12,61,1599
1,Rogers Park,0,13,65,1610
1,Rogers Park,0,14,57,1621
1,Rogers Park,0,15,51,1452
1,Rogers Park,0,16,100,1463
1,Rogers Park,0,17,91,1474
1,Rogers Park,0,18,97,1485
1,Rogers Park,0,19,88,1496
1,Rogers Park,0,20,64,1507
1,Rogers Park,0,21,69,1518
1,Rogers Park,0,22,62,1779
1,Rogers Park,0,23,35,1790
1,Rogers Park,1,0,38,1717
1,Rogers Park,1,1,35,1728
1,Rogers Park,1,2,19,1739
1,Rogers Park,1,3,17,1750
1,Rogers Park,1,4,19,1761
1,Rogers Park,1,5,17,1772
1,Rogers Park,1,6,55,1533
1,Rogers Park,1,7,86,1544
1,Rogers Park,1,8,78,1555
1,Rogers Park,1,9,83,1566
1,Rogers Park,1,10,51,1577
1,Rogers Park,1,11,68,1588
1,Rogers Park,1,12,73,1599
1,Rogers Park,1,13,66,1610
1,Rogers Park,1,14,57,1621
1,Rogers Park,1,15,52,1452
1,Rogers Park,1,16,101,1463
1,Rogers Park,1,17,108,1474
1,Rogers Park,1,18,98,1485
1,Rogers Park,1,19,105,1496
1,Rogers Park,1,20,65,1507
1,Rogers Park,1,21,69,1518
1,Rogers Park,1,22,63,1779
1,Rogers Park,1,23,35,1790
1,Rogers Park,2,0,37,1717
1,Rogers Park,2,1,34,1728
1,Rogers Park,2,2,18,1739
1,Rogers Park,2,3,20,1750
1,Rogers Park,2,4,18,1761
1,Rogers Park,2,5,19,1772
1,Rogers Park,2,6,52,1533
1,Rogers Park,2,7,83,1544
1,Rogers Park,2,8,75,1555
1,Rogers Park,2,9,80,1566
1,Rogers Park,2,10,58,1577
1,Rogers Park,2,11,65,1588
1,Rogers Park,2,12,70,1599
1,Rogers Park,2,13,63,1610
1,Rogers Park,2,14,55,1621
1,Rogers Park,2,15,59,1452
1,Rogers Park,2,16,97,1463
1,Rogers Park,2,17,104,1474
1,Rogers Park,2,18,94,1485
1,Rogers Park,2,19,101,1496
1,Rogers Park,2,20,73,1507
1,Rogers Park,2,21,67,1518
1,Rogers Park,2,22,71,1779
1,Rogers Park,2,23,34,1790
1,Rogers Park,3,0,36,1717
1,Rogers Park,3,1,38,1728
1,Rogers Park,3,2,18,1739
1,Rogers Park,3,3,19,1750
1,Rogers Park,3,4,17,1761
1,Rogers Park,3,5,18,1772
1,Rogers Park,3,6,59,1533
1,Rogers Park,3,7,79,1544
1,Rogers Park,3,8,85,1555
1,Rogers Park,3,9,77,1566
